OrderId,Barcode,WardId,Quan 
2346095,13210403,10445,"Hô Chi Minh"
2346096,21657900,10620,"Hô Chi Minh"
2346097,69807961,10379,"Hô Chi Minh"
2346099,93884150,10631,"Hô Chi Minh"
2346101,68981303,10570,"Hô Chi Minh"
2346104,17079792,10398,"Hô Chi Minh"
2346105,90278471,10398,"Hô Chi Minh"
2346103,42830962,10407,"Hô Chi Minh"
2346116,26174945,10624,"Hô Chi Minh"
2346119,44153519,10555,"Hô Chi Minh"
2346120,82293338,10593,"Hô Chi Minh"
2346123,78305366,10511,"Hô Chi Minh"
2346124,14167799,10319,"Hô Chi Minh"
2346127,91568243,10514,"Hô Chi Minh"
2346128,16735262,10379,"Hô Chi Minh"
